,City_Name,Country_Code,Latitude,Longitude,Temperature_(F),Humidity_(%),Cloudiness_(%),Wind_Speed_(mph)
397,port hardy,ca,50.7,-127.42,33.8,100,75,3.49
398,richards bay,za,-28.78,32.04,72.09,89,88,3.27
399,laguna,br,-28.48,-48.78,69.16,100,80,9.82
400,aiquile,bo,-18.2,-65.18,56.07,100,68,2.48
401,bilma,ne,18.69,12.92,51.12,58,48,2.89
402,jega,ng,12.22,4.38,65.02,32,0,9.42
403,leh,in,34.17,77.58,-5.81,76,76,1.88
404,sandpoint,us,48.28,-116.55,36.36,100,90,3.83
405,waipawa,nz,-41.41,175.52,71.6,60,0,25.28
406,manaure,co,11.78,-72.44,81.99,100,0,18.92
407,boa vista,br,2.82,-60.67,86,66,0,18.34
408,saint anthony,ca,54.66,-55.58,,,,
409,methoni,gr,36.82,21.7,64.4,72,75,13.87
410,petropavlovsk-kamchatskiy,ru,53.05,158.65,26.6,42,20,15.66
411,lata,sb,-7.37,168.55,,,,
412,nguiu,au,-11.22,128.82,,,,
413,uwayl,sd,8.48,27.5,,,,
414,plouzane,fr,48.38,-4.62,39.2,93,0,5.82
415,rocha,uy,-34.48,-54.33,62.77,77,32,12.88
416,tambovka,ru,50.1,128.05,-5.81,53,0,4.47
417,kiruna,se,67.86,20.23,21.2,85,0,6.93
418,vardo,no,70.37,31.11,33.16,100,68,32.01
419,salalah,om,17.02,54.09,69.8,49,0,1.12
420,baruun-urt,mn,46.68,113.28,6.16,65,0,12.55
421,qaqortoq,gl,60.72,-46.03,30.2,80,92,8.05
422,venezuela,cu,21.74,-78.8,76.45,86,44,14.07
423,bababe,mr,16.25,-13.84,,,,
424,candolim,in,15.52,73.76,80.1,94,36,11.65
425,kjollefjord,no,70.95,27.35,29.47,100,76,21.05
426,marcona,pe,-21.11,-81.62,,,,
427,conde,br,-7.26,-34.91,78.8,74,20,6.93
428,bayir,jo,30.3,37.68,,,,
429,karasburg,na,-28.02,18.75,54.9,39,0,4.05
430,suleja,ng,9.18,7.18,72,33,8,10.04
431,pantai remis,my,4.46,100.63,79.61,88,75,2.24
432,matagami,ca,49.75,-77.63,24.8,85,90,4.7
433,kaniama,cd,-7.57,24.18,65.25,97,24,2.26
434,pont-a-mousson,fr,48.91,6.06,30.79,86,0,6.93
435,burgeo,ca,47.62,-57.62,39.42,100,44,11.54
436,la cruz,mx,23.92,-106.9,69.48,95,0,2.59
437,arona,es,28.1,-16.68,63.66,82,75,2.24
438,muyezerskiy,ru,63.93,31.65,26.95,96,88,2.55
439,georgiyevka,kz,43.04,74.71,25.83,93,92,3
440,coihaique,cl,-45.58,-72.07,53.6,66,0,2.24
441,kahului,us,20.89,-156.47,74.48,74,40,18.34
442,dubti,et,11.74,41.09,53.86,78,0,1.7
443,bolungarvik,is,67.73,-25.72,,,,
444,nuuk,gl,64.18,-51.72,33.8,80,88,40.26
445,mahajanga,mg,-15.72,46.32,78.8,88,20,3.36
446,chifeng,cn,42.27,118.96,30.46,36,0,9.64
447,dauphin,ca,51.15,-100.05,24.8,79,1,11.41
448,arkhara,ru,49.42,130.08,-5.54,56,8,3.6
449,pacific grove,us,36.62,-121.92,52.23,93,75,3.36
450,banyuwangi,id,-8.23,114.36,84.37,83,48,3.04
451,vestmanna,fo,62.16,-7.17,46.4,100,92,33.33
452,izhma,ru,65.01,53.91,23.85,79,92,8.93
453,zhangjiakou,cn,40.81,114.88,25.2,38,0,3.83
454,kupang,id,-10.17,123.58,87.8,66,40,5.82
455,muravlenko,ru,63.79,74.52,15.39,87,76,10.6
456,guerrero negro,mx,27.98,-114.06,64.3,95,80,7.58
457,vao,nc,-22.67,167.48,73.3,100,92,16.91
458,teya,ru,60.38,92.63,0.18,84,80,3.27
459,wahpeton,us,46.27,-96.61,28.4,79,1,4.7
460,zaragoza,mx,28.48,-100.92,59.94,84,0,7.25
461,koumac,nc,-20.57,164.28,77.58,85,92,7.52
